Strain,Ev,Acc,Rep,Week,D1Pop,D2Pop,D3Pop,D4Pop,D1FSC,D2FSC,D3FSC,D4FSC,Growth.Rate,Mean.FSC,PE.Count,Chl.a.read,Chl.a.per.cell,FvFm.0,PEDay,FvFm.PE,P,alpha,beta,E_k,P_I,O2.Count,O2.rate.light,O2.rate.dark,pgO2.cell.hr.light,pgO2.cell.hr.dark,g.sp.acc.bestfit,G_Old,G_O,pgC.cell,pgN.cell,Day1-redF,Day2-redF,Day3-redF,Day4-redF,Fm
1391,18,18,A,7,6512.354,11290.0834,19340.18,24806.21,8011.11,9248.693179,10304.83,9104.42,0.544241904,9167.263295,,,0.053,0.448,,0.463,392.418577,2.55498672,NA,153.589282,224.620918,,,,,,,,,,,2768.706478,2805.364787,2822.057679,2382.552755,5178
1391,18,18,B,7,5115.443,8457.373782,13884.62,16525.11,8160.099,9857.033994,10400.88,9607.093,0.499258875,9506.276499,,,0.056,0.455,,0.426,358.767866,2.48788737,NA,144.205831,215.33098,,,,,,,,,,,2781.590106,2858.715644,2850.68845,2543.916105,4545
1391,18,18,C,7,7078.642,11402.51472,16877.13,27013.58,8019.741,9825.244545,10253.85,10489.89,0.440989839,9647.181386,,,0.051,0.448,,0.506,412.049591,2.59193006,NA,158.974039,229.670822,,,,,,,,,,,2758.050862,2899.021677,2836.074105,2657.186462,8558
1391,18,18,D,7,9004.177,12836.71798,20198.94,31025.45,7822.62,9461.353581,9720.326,10055.85,0.441249089,9265.037395,,,0.054,0.456,,0.59,467.512881,2.75825718,NA,169.495755,247.728072,,,,,,,,,,,2738.657095,2787.279033,2678.658202,2503.195682,8434
1391,18,18,E,7,6946.851,11044.28939,16819.91,25003.6,8119.326,9589.190123,10056.51,10231.43,0.44213742,9499.114031,,,0.058,0.439,,0.553,387.089712,2.54551195,NA,152.067529,223.260081,,,,,,,,,,,2620.536971,2795.289868,2718.529255,2526.933624,7962
1391,18,18,F,7,5843.358,8788.532935,14828.95,22320.48,8349.033,9812.384598,10156.18,10174.81,0.454373059,9623.1019,,,0.051,0.428,,0.538,384.298098,2.40915083,NA,159.515997,213.635703,,,,,,,,,,,2743.705134,2852.431625,2742.859576,2504.215877,7369
1393,18,18,A,7,368.1301,368.101788,537.9641,217.0592,9722.607,8996.354065,9604.913,10008.94,0.189677711,9583.203516,,,,0.14,,0.426,319.057935,0.7426863,NA,429.599867,72.9556864,,,,,,,,,,,5997.556123,7932.792816,7111.841869,5563.070143,2391
1393,18,18,B,7,802.3144,915.5913768,1123.06,320.88,9975.124,9626.108216,9648.869,10588.39,0.168155915,9959.622804,,,,0.155,,0.117,325.273943,0.96842054,NA,335.880879,94.0786349,,,,,,,,,,,7927.200704,7449.475301,7951.171998,5368.21733,2128
1393,18,18,C,7,556.8789,613.5453898,651.9276,320.8862,9950.479,9323.770783,9386.432,11027.96,0.078792856,9922.160446,,,,0.168,,0.154,385.299752,1.08247227,NA,355.944222,105.486413,,,,,,,,,,,7227.104062,6859.259648,7050.061004,6922.013507,1600
1393,18,18,D,7,1755.52,1831.10478,1934.76,1557.246,9934.668,9827.926255,10431.55,10161.26,0.048609089,10088.85106,,,,0.136,,0.204,365.555827,0.88383071,NA,413.603901,86.7002285,,,,,,,,,,,7832.919647,7269.076294,6982.785771,6576.441248,2482
1393,18,18,E,7,1066.499,1285.065466,1245.852,839.9683,9676.721,9810.599642,10040.08,11144.58,0.077719156,10167.99516,,,,0.144,,0.212,329.982616,1.20338278,NA,274.212512,115.272895,,,,,,,,,,,6920.754536,7132.718814,7376.8337,6422.627895,1840
1393,18,18,F,7,896.6976,887.3519368,802.3084,613.4605,9766.728,9898.87453,9665.16,10067.05,-0.010477006,9849.453133,,,,0.127,,0.239,277.481867,0.9591098,NA,289.311888,92.2655235,,,,,,,,,,,7472.988747,7877.472943,8376.883057,6161.893162,1205
2951,18,18,A,7,3170.654,4776.94297,12337.4,4691.614,8733.529,8142.794466,8365.845,8619.966,0.679348712,8465.533617,,,0.218,0.18,,0.212,439.789724,1.38476491,NA,317.591616,134.074649,,,,,,,,,,,4348.854052,3851.481599,3590.101021,3552.004205,2055
2951,18,18,B,7,7775.43,7653.88795,15627.45,8878.653,7958.413,7458.462862,7583.639,7558.456,0.349030111,7639.742716,,,0.288,0.305,,0.539,285.855131,0.93853212,NA,304.576822,90.6201834,,,,,,,,,,,3823.229871,3650.98253,3478.746563,3195.36002,4346
2951,18,18,C,7,5409.566,7400.196507,11146.13,4520.361,9111.992,9497.157139,10214.28,10094.01,0.361461742,9729.359785,,,0.299,0.271,,0.494,226.956347,1.10798589,NA,204.836856,102.761607,,,,,,,,,,,4397.919167,4160.962342,4367.506824,3786.331637,5253
2951,18,18,D,7,4073.748,5474.20028,8691.942,3699.127,8646.814,8312.257353,8497.962,9575.438,0.378916465,8758.117838,,,0.164,0.408,,0.461,328.809237,1.27986929,NA,256.908451,121.892234,,,,,,,,,,,3997.716936,3850.659974,3501.342105,3535.927196,2296
2951,18,18,E,7,7137.699,10912.19896,16204.36,6888.305,7985.974,7510.787108,7909.849,8881.516,0.409944943,8072.031527,,,0.34,0.281,,0.527,215.959948,1.38642864,NA,155.767085,122.28711,,,,,,,,,,,3793.604204,3608.187583,3454.138308,3455.549739,3170
2951,18,18,F,7,5106.406,7646.901491,11327.29,6804.376,8412.995,7926.265097,8620.083,9508.388,0.398359514,8616.932774,,,0.331,0.221,,0.48,263.08352,1.07105676,NA,245.629857,101.555949,,,,,,,,,,,3915.238986,3599.70297,3584.2175,3832.849797,3762
1391,24,18,A,7,5087.205,4748.904508,5615.069,4310.435,7981.046,9176.464903,9636.547,9940.941,0.167539915,9183.749726,,,,0.345,,0.301,639.492345,2.23191691,NA,286.521574,214.550125,,,,,,,,,,,2886.71628,3234.460112,3211.533644,3254.424512,1925
1391,24,18,B,7,3690.24,3843.182832,5154.754,4861.171,8097.416,8940.590441,9552.428,9375.026,0.16711395,8991.36511,,,,0.399,,0.283,431.019528,2.09031632,NA,206.198231,194.051563,,,,,,,,,,,3033.069497,3118.944562,3030.350276,2876.872126,1571
1391,24,18,C,7,3953.883,4276.621727,4569.437,4794.981,7830.832,8281.635795,10028.35,10372.06,0.072345934,9128.219449,,,,0.368,,0.324,482.977071,2.5290206,NA,190.973957,232.069531,,,,,,,,,,,2804.74478,2868.60999,3188.013308,3334.674013,3240
1391,24,18,D,7,3342.071,3572.769688,4116.163,4191.913,7654.831,8961.213097,10256.62,11180.55,0.104165372,9513.303524,,,,0.394,,0.332,397.6781,2.34729878,NA,169.419464,210.799645,,,,,,,,,,,2901.760265,3158.652267,3449.889196,3691.297471,3370
1391,24,18,E,7,3512.083,4352.287507,4862.652,5154.549,8530.995,9623.123902,10824.5,11521.23,0.16268733,10124.96223,,,,0.41,,0.364,392.760811,2.76728104,NA,141.930222,238.508528,,,,,,,,,,,3167.394804,3321.212933,3610.885592,3843.591413,3595
1391,24,18,F,7,3289.229,3682.73037,3503.226,3672.53,8634.775,9369.258911,9951.581,10308.26,0.113001235,9565.968728,,,,0.396,,0.354,368.62797,2.40584647,NA,153.221735,211.389894,,,,,,,,,,,3157.32039,3223.817563,3475.058543,3538.753121,2469
1393,24,18,A,7,8146.83,8402.750888,8542.526,5381.324,8710.208,9255.683574,9778.82,10121.53,0.023713927,9466.560394,,,,0.223,,0.275,261.716693,0.73973195,NA,353.799365,72.064295,,,,,,,,,,,6391.815532,6529.392701,6515.838514,5593.908837,3170
1393,24,18,B,7,6427.18,6665.188399,7579.862,4257.332,9062.951,9191.14165,9642.993,10052.51,0.08247956,9487.398913,,,,0.332,,0.264,247.845373,0.9022875,NA,274.685588,86.4431774,,,,,,,,,,,6009.798529,6047.197844,5812.395744,4952.756708,2735
1393,24,18,C,7,5057.609,5322.570366,4626.14,4473.872,8786.495,9122.373378,9549.564,10419.06,0.051062496,9469.373095,,,,0.347,,0.313,314.317921,0.79220905,NA,396.761335,77.5849718,,,,,,,,,,,5714.864934,5684.386506,6023.593111,5185.766103,2125
1393,24,18,D,7,9569.549,10004.61609,10194.73,7957.578,9431.721,9733.913798,10216.56,10783.33,0.031642421,10041.3812,,,,0.345,,0.389,243.439857,0.85322231,NA,285.318204,81.992095,,,,,,,,,,,6476.993654,6613.074329,6960.589371,6448.417191,5570
1393,24,18,E,7,6539.756,7796.729941,7853.234,5531.231,8948.065,9066.138339,9643.197,10520.43,0.091512783,9544.457585,,,,0.352,,0.369,332.545537,0.73662991,NA,451.441805,72.4813514,,,,,,,,,,,5808.039568,5928.564635,6132.62237,5824.503535,3906
