Strain,Ev,Acc,Rep,Week,D1Pop,D2Pop,D3Pop,D4Pop,D1FSC,D2FSC,D3FSC,D4FSC,Growth.Rate,Mean.FSC,PE.Count,Chl.a.read,Chl.a.per.cell,FvFm.0,FvFm.PE,P,alpha,beta,E_k,P_I,O2.Count,O2.rate.light,O2.rate.dark,pgO2.cell.hr.light,pgO2.cell.hr.dark,g.sp.acc.bestfit,G_Old,G_O,pgC.cell,pgN.cell,Day1-redF,Day2-redF,Day3-redF,Day4-redF,Fm
1391,18,18,A,7,5556.46,6238.075833,7239.641392,12516.58,6659.762,6228.294628,7973.530761,9137.745,0.348191195,7499.833097,,,0.055,0.499,0.488,339.172926,2.117989,NA,160.139135,102.587287,,,,,,,,,,,2678.451181,2928.314569,3051.209204,2948.753381,3621
1391,18,18,B,7,6329.783,6550.356685,8344.294001,16726.74,7119.463,6621.48558,8265.120476,8986.671,0.468744566,7748.185014,,,,0.35,0.517,343.794198,2.24691947,NA,153.006907,108.510688,,,,,,,,,,,2769.174642,2847.302676,3165.37961,2967.867731,4400
1391,18,18,C,7,6858.327,6777.138145,8504.32327,16123.19,8150.246,7658.12871,8788.397153,9457.439,0.433351849,8513.552716,,,0.056,0.481,0.513,334.866231,2.23418051,NA,149.883247,107.741713,,,,,,,,,,,2750.537505,2893.869505,3155.006638,3052.246087,4702
1391,18,18,D,7,6744.933,7843.412142,8957.036819,15291.98,7134.185,6867.572646,8481.712994,9460.776,0.333827273,7986.06166,,,0.061,0.503,0.518,325.935874,2.12157564,NA,153.629155,102.485534,,,,,,,,,,,2743.144061,2814.101503,3152.226084,3066.341368,4904
1391,18,18,E,7,5661.257,6084.486531,7040.285782,12630.24,7366.026,7219.799198,8161.344406,9184.825,0.365175799,7982.998651,,,0.058,0.501,0.466,320.182429,2.13308636,NA,150.102891,102.877129,,,,,,,,,,,2629.516967,2859.928263,3048.969875,2985.900148,4389
1391,18,18,F,7,4740.924,4587.273776,5149.483145,9042.11,7299.025,7058.756267,8364.722944,9535.293,0.339303328,8064.449303,,,0.054,0.207,0.529,353.503153,2.30346067,NA,153.466112,111.263776,,,,,,,,,,,2590.713973,2773.213978,3019.217357,2995.841103,2546
1393,18,18,A,7,6687.421,7619.029921,7500.560962,8144.059,8834.093,9402.133116,9130.025757,9146.571,0.057550997,9128.205718,,,0.119,0.208,0.519,305.650628,1.34046206,NA,228.018858,65.9691288,,,,,,,,,,,6220.458735,5945.58721,6096.654481,6047.604227,2056
1393,18,18,B,7,7641.26,8919.075787,9125.423337,10088.91,8596.284,9172.843303,9131.045148,9043.303,0.08875089,8985.868863,,,0.113,0.416,0.38,279.006493,1.03699383,NA,269.053186,51.2609408,,,,,,,,,,,6163.655881,5744.564235,6208.167919,5849.207533,3279
1393,18,18,C,7,8048.04,10268.84948,10625.71933,11948.49,8612.075,9186.586885,8966.962879,9118.467,0.121969141,8971.022941,,,0.118,0.4,0.444,213.286249,1.08151209,NA,197.211154,52.9459778,,,,,,,,,,,6260.303952,6089.413517,6084.368359,6149.580062,3262
1393,18,18,D,7,7416.352,8203.181578,7737.705265,9551.136,8736.081,9207.309323,8964.721787,9061.344,0.076069012,8992.364028,,,0.123,0.323,0.459,268.691166,1.12463829,NA,238.913408,55.4250892,,,,,,,,,,,6218.85569,6011.469322,5971.826989,6042.831668,2934
