"","IDs","Strain","Light","Ev","Assay","Rep","Sp.Ev","FLB","OB","Os","Ts","TypeI.a","TypeI.AIC","TypeII.a","TypeII.h","TypeII.AIC","Type.bestfit","a.bestfit","G_O","Light.Ev.Acc"
"1","1393.100.18.18.A",1393,100,"18",18,"A","1393.18",1715,1277222.22222222,1277222.22222222,1278937.22222222,1.34981090915698e-06,12.6546269516846,0.289723028454431,0.187978810189394,6.2260780330405,"Type II",0.289723028454431,5.31967205815063,"100.18."
"2","1393.100.18.18.B",1393,100,"18",18,"B","1393.18",1715,1277222.22222222,1277222.22222222,1278937.22222222,1.22419983206168e-06,9.70011013871505,1.86380364083134e-05,0.194186428304874,-14.5898896653424,"Type II",1.86380364083134e-05,4.23379774446156,"100.18."
"3","1393.100.18.18.C",1393,100,"18",18,"C","1393.18",1715,1277222.22222222,1277222.22222222,1278937.22222222,1.02747866359554e-06,8.66312027930501,6.58952303013803e-05,0.244448525887989,-5.68960575599529,"Type II",6.58952303013803e-05,3.90121724000404,"100.18."
"4","1393.100.18.18.D",1393,100,"18",18,"D","1393.18",0,1277222.22222222,1277222.22222222,1277222.22222222,9.04913640131788e-07,3.32164103425383,1.63328381504979e-06,0.102736634469539,-1.43689629755874,"Type II",1.63328381504979e-06,1.71789496850313,"100.18."
"5","1393.100.18.18.E",1393,100,"18",18,"E","1393.18",0,1277222.22222222,1277222.22222222,1277222.22222222,6.97778637204216e-07,5.25340005823532,6.97778636447263e-07,0,7.25340005823531,"Type I",6.97778637204216e-07,0.891218380662365,"100.18."
"6","1393.100.18.18.F",1393,100,"18",18,"F","1393.18",0,1277222.22222222,1277222.22222222,1277222.22222222,6.63121335509054e-07,2.68197905576032,6.63121335175526e-07,0,4.68197905576032,"Type I",6.63121335509054e-07,0.846953305315853,"100.18."
"7","1393.100.18.24.A",1393,100,"18",24,"A","1393.18",22142,1277222.22222222,1277222.22222222,1299364.22222222,1.61804493248319e-06,10.7467429541072,0.359060793218586,0.214363615379183,9.20371218698062,"Type II",0.359060793218586,4.66492331800035,"100.18."
"8","1393.100.18.24.B",1393,100,"18",24,"B","1393.18",22142,1277222.22222222,1277222.22222222,1299364.22222222,3.24284646135986e-07,6.51029781040483,6.41286809646841e-07,0.549093339898278,7.60366322703827,"Type I",3.24284646135986e-07,0.564972860687008,"100.18."
"9","1393.100.18.24.C",1393,100,"18",24,"C","1393.18",22142,1277222.22222222,1277222.22222222,1299364.22222222,3.83683671500989e-07,4.00149760762041,0.0508802009459438,0.648121563656178,-0.901247462153285,"Type II",0.0508802009459438,1.54288379532434,"100.18."
"10","1393.100.18.24.D",1393,100,"18",24,"D","1393.18",3231,1277222.22222222,1277222.22222222,1280453.22222222,8.70310477019132e-07,17.46954165987,0.00253283986860452,0.243402202182979,12.4033249482204,"Type II",0.00253283986860452,4.10321520909583,"100.18."
"11","1393.100.18.24.E",1393,100,"18",24,"E","1393.18",3231,1277222.22222222,1277222.22222222,1280453.22222222,7.19420645611812e-07,17.4874556905477,0.202307638277231,0.306919378650648,12.1151000166539,"Type II",0.202307638277231,3.25814353946033,"100.18."
"12","1393.100.18.24.F",1393,100,"18",24,"F","1393.18",3231,1277222.22222222,1277222.22222222,1280453.22222222,5.87062328416543e-07,14.8281549281876,0.187984646381778,0.376451596782764,9.17224023657883,"Type II",0.187984646381778,2.65635461484895,"100.18."
"13","1393.100.18.27.A",1393,100,"18",27,"A","1393.18",843,1277222.22222222,1277222.22222222,1278065.22222222,1.33903301369198e-06,7.48101793470389,2.61171165337493e-06,0.103526915752528,6.36994464356966,"Type II",2.61171165337493e-06,2.479477261505,"100.18."
"14","1393.100.18.27.B",1393,100,"18",27,"B","1393.18",843,1277222.22222222,1277222.22222222,1278065.22222222,1.15041805015537e-06,1.0755897881559,1.15041804975455e-06,0,3.0755897881559,"Type I",1.15041805015537e-06,1.46933949799206,"100.18."
"15","1393.100.18.27.C",1393,100,"18",27,"C","1393.18",843,1277222.22222222,1277222.22222222,1278065.22222222,1.07364449319913e-06,4.81492657895919,1.07364449308735e-06,0,6.8149265789592,"Type I",1.07364449319913e-06,1.37128260533768,"100.18."
"16","1393.100.18.27.D",1393,100,"18",27,"D","1393.18",2978,1277222.22222222,1277222.22222222,1280200.22222222,1.34936081319648e-06,15.3190130720529,0.243547574564463,0.222779084234146,11.1808151377263,"Type II",0.243547574564463,4.48868695796803,"100.18."
"17","1393.100.18.27.E",1393,100,"18",27,"E","1393.18",2978,1277222.22222222,1277222.22222222,1280200.22222222,1.39612182636917e-06,14.3421154236867,0.28360898519676,0.217014274342507,9.20218160385581,"Type II",0.28360898519676,4.60793319736459,"100.18."
"18","1393.100.18.27.F",1393,100,"18",27,"F","1393.18",2978,1277222.22222222,1277222.22222222,1280200.22222222,1.09011333515596e-06,12.3221354145275,0.234001878445495,0.277769078325767,8.21662901407829,"Type II",0.234001878445495,3.60006938324814,"100.18."
"19","1393.100.18.30.A",1393,100,"18",30,"A","1393.18",2625,1277222.22222222,1277222.22222222,1279847.22222222,1.20078372300991e-06,5.75585012189353,5.04215397056867e-06,0.189661268395209,-7.73273618961349,"Type II",5.04215397056867e-06,2.89903851437644,"100.18."
"20","1393.100.18.30.B",1393,100,"18",30,"B","1393.18",2625,1277222.22222222,1277222.22222222,1279847.22222222,1.01777018268745e-06,6.89247692055866,3.09517288558759e-06,0.197072149247728,7.06711830915225,"Type I",1.01777018268745e-06,2.22207276393002,"100.18."
"21","1393.100.18.30.C",1393,100,"18",30,"C","1393.18",2625,1277222.22222222,1277222.22222222,1279847.22222222,9.18142723405069e-07,2.27921119715266,1.37151793823795e-06,0.106093194382374,3.54360300108442,"Type I",9.18142723405069e-07,1.47720003814181,"100.18."
"22","1393.100.18.30.D",1393,100,"18",30,"D","1393.18",7764,1277222.22222222,1277222.22222222,1284986.22222222,1.75695993853697e-06,6.9736283545436,7.26116821584408e-06,0.127327931912993,-6.35342553498633,"Type II",7.26116821584408e-06,4.25251771427584,"100.18."
"23","1393.100.18.30.E",1393,100,"18",30,"E","1393.18",7764,1277222.22222222,1277222.22222222,1284986.22222222,9.5682421097365e-07,17.2412844130701,0.161896086638734,0.23432526683009,10.8655219042834,"Type II",0.161896086638734,4.26748414909187,"100.18."
"24","1393.100.18.30.F",1393,100,"18",30,"F","1393.18",7764,1277222.22222222,1277222.22222222,1284986.22222222,6.99691265260149e-07,14.3450000455501,0.134287280022201,0.319633835264254,8.08549047463282,"Type II",0.134287280022201,3.12852285685205,"100.18."
"25","1393.100.18.33.A",1393,100,"18",33,"A","1393.18",30091,1277222.22222222,1277222.22222222,1307313.22222222,1.85868799351674e-06,15.4236778756592,0.469591659128572,0.15155204669903,9.50741487943816,"Type II",0.469591659128572,6.59832064571748,"100.18."
"26","1393.100.18.33.B",1393,100,"18",33,"B","1393.18",30091,1277222.22222222,1277222.22222222,1307313.22222222,1.35169860349116e-06,-3.52841866890053,1.74208140626167e-06,0.046380875991559,-11.5374442299312,"Type II",1.74208140626167e-06,2.01688531846845,"100.18."
"27","1393.100.18.33.C",1393,100,"18",33,"C","1393.18",30091,1277222.22222222,1277222.22222222,1307313.22222222,1.18280310568153e-06,8.61127855548354,2.40816502357542,0.24218989880122,-8.01526022566993,"Type II",2.40816502357542,4.12898581866023,"100.18."
"28","1393.100.18.33.D",1393,100,"18",33,"D","1393.18",0,1277222.22222222,1277222.22222222,1277222.22222222,1.12372382121695e-06,5.50231112876465,2.72272171159295e-06,0.133732114892859,-3.21123430371957,"Type II",2.72272171159295e-06,2.37364320095863,"100.18."
