,IDs,Strain,Light,Ev,Assay,Rep,Sp.Ev,FLB,OB,Os,Ts,TypeI.a,TypeI.AIC,TypeII.a,TypeII.h,TypeII.AIC,Type.bestfit,a.bestfit,G_O,Light.Ev.Acc
1,1391.100.18.18.A,1391,100,18,18,A,1393.18,1715,1277222.222,1277222.222,1278937.222,1.35E-06,12.65462695,0.289723028,0.18797881,6.226078033,Type II,0.289723028,5.319672058,100.18.
2,1391.100.18.18.B,1391,100,18,18,B,1393.18,1715,1277222.222,1277222.222,1278937.222,1.22E-06,9.700110139,1.86E-05,0.194186428,-14.58988967,Type II,1.86E-05,4.233797744,100.18.
3,1391.100.18.18.C,1391,100,18,18,C,1393.18,1715,1277222.222,1277222.222,1278937.222,1.03E-06,8.663120279,6.59E-05,0.244448526,-5.689605756,Type II,6.59E-05,3.90121724,100.18.
4,1391.100.18.18.D,1391,100,18,18,D,1393.18,0,1277222.222,1277222.222,1277222.222,9.05E-07,3.321641034,1.63E-06,0.102736634,-1.436896298,Type II,1.63E-06,1.717894969,100.18.
5,1391.100.18.18.E,1391,100,18,18,E,1393.18,0,1277222.222,1277222.222,1277222.222,6.98E-07,5.253400058,6.98E-07,0,7.253400058,Type I,6.98E-07,0.891218381,100.18.
6,1391.100.18.18.F,1391,100,18,18,F,1393.18,0,1277222.222,1277222.222,1277222.222,6.63E-07,2.681979056,6.63E-07,0,4.681979056,Type I,6.63E-07,0.846953305,100.18.
7,1391.100.18.24.A,1391,100,18,24,A,1393.18,22142,1277222.222,1277222.222,1299364.222,1.62E-06,10.74674295,0.359060793,0.214363615,9.203712187,Type II,0.359060793,4.664923318,100.18.
8,1391.100.18.24.B,1391,100,18,24,B,1393.18,22142,1277222.222,1277222.222,1299364.222,3.24E-07,6.51029781,6.41E-07,0.54909334,7.603663227,Type I,3.24E-07,0.564972861,100.18.
9,1391.100.18.24.C,1391,100,18,24,C,1393.18,22142,1277222.222,1277222.222,1299364.222,3.84E-07,4.001497608,0.050880201,0.648121564,-0.901247462,Type II,0.050880201,1.542883795,100.18.
10,1391.100.18.24.D,1391,100,18,24,D,1393.18,3231,1277222.222,1277222.222,1280453.222,8.70E-07,17.46954166,0.00253284,0.243402202,12.40332495,Type II,0.00253284,4.103215209,100.18.
11,1391.100.18.24.E,1391,100,18,24,E,1393.18,3231,1277222.222,1277222.222,1280453.222,7.19E-07,17.48745569,0.202307638,0.306919379,12.11510002,Type II,0.202307638,3.258143539,100.18.
12,1391.100.18.24.F,1391,100,18,24,F,1393.18,3231,1277222.222,1277222.222,1280453.222,5.87E-07,14.82815493,0.187984646,0.376451597,9.172240237,Type II,0.187984646,2.656354615,100.18.
13,1391.100.18.27.A,1391,100,18,27,A,1393.18,843,1277222.222,1277222.222,1278065.222,1.34E-06,7.481017935,2.61E-06,0.103526916,6.369944644,Type II,2.61E-06,2.479477262,100.18.
