Light,Strain,Ev,Acc,Rep,ExptDay,CellspmL,FSC,RedF,Chl.volextr,ChlReading,ChlperCell,Fm,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
100,1391,24,18,A,0,56769,7597.687654,7029.983342,4,1.91,0.168225549,5746,0.333,134.8043328,9.68E-01,161.9538909,3.314440655,4.93E-09,1.052940296,0.02792141,2.32E-08,153.8110864,10.51459233
100,1391,24,18,B,0,91492,7161.14595,5949.301753,4,2.71,0.148099772,8052,0.48,165.3623306,1.16E+00,199.6358952,3.997456992,4.32E-09,1.289572405,0.033192867,1.94E-08,154.807822,12.87781739
100,1391,24,18,C,0,90975,7431.095485,6629.67278,4,2.46,0.135202255,8496,0.449,183.2386007,1.24E+00,235.2246045,5.684446825,1.33E-08,1.318767911,0.033966352,1.95E-08,178.3669458,13.17387931
100,1391,24,18,D,0,77065,6867.390737,6946.707,4,2.61,0.169337856,8303,0.472,182.581953,1.23E+00,231.0318408,6.348132572,2.87E-08,1.336547665,0.04088448,5.45E-08,172.8571654,13.35058622
100,1391,24,18,E,0,70949,7064.372693,6576.750336,4,2.21,0.155745876,7347,0.464,144.9788274,1.02E+00,182.1540148,6.473446535,1.33E-07,1.077263273,0.043914343,3.02E-07,169.089599,10.76009093
100,1391,24,18,F,0,69492,7062.602734,7247.746809,4,2.38,0.171242066,7727,0.45,146.3465302,1.00E+00,186.5761827,4.305608104,1.01E-08,1.061864271,0.026671663,1.68E-08,175.7062441,10.60719256
100,2951,24,18,A,0,102078,6045.99252,4765.067713,,,,4495,0.493,209.9513621,1.77E+00,226.6605278,4.407568375,3.63E-09,2.10180879,0.076667266,1.56E-07,107.8406984,20.9580514
100,2951,24,18,B,0,112703,5979.38509,4044.18565,,,,6740,0.541,218.8699385,1.82E+00,240.061074,4.254262728,2.08E-09,2.099268045,0.066158632,6.51E-08,114.3546555,20.93933313
100,2951,24,18,C,0,84918,6040.548078,3814.826207,,,,3559,0.512,214.9949449,1.85E+00,236.5537797,5.803059412,1.46E-08,2.078229027,0.091056161,4.63E-07,113.8246924,20.72898619
100,2951,24,18,D,0,100068,5996.414908,4336.429316,,,,4598,0.52,182.5244722,1.78E+00,191.6072901,3.897923968,4.75E-09,2.098529758,0.092290558,4.74E-07,91.30549107,20.90179086
100,2951,24,18,E,0,87657,5801.2366,3811.259216,,,,3618,0.53,182.8094947,1.81E+00,190.7682542,4.09927231,6.60E-09,2.174894489,0.104409721,7.97E-07,87.71379724,21.65520398
100,2951,24,18,F,0,90804,5972.048572,3912.999195,,,,4509,0.524,174.2740948,1.69E+00,183.4402817,3.321957657,2.37E-09,1.984747706,0.07692333,2.23E-07,92.42498737,19.77039088
100,1391,24,24,A,0,74605,6597.551624,11876.55925,,,,11161,0.481,118.7042761,9.70E-01,136.7950176,4.30284898,6.44E-08,1.024111523,0.049076757,7.89E-07,133.574337,10.22202516
100,1391,24,24,B,0,78045,6481.156454,9717.249184,,,,8981,0.507,75.46587353,6.11E-01,92.79431101,6.856736836,1.01E-05,0.588731518,0.05467842,3.79E-05,157.6173659,5.879428587
100,1391,24,24,C,0,78565,6612.476909,10767.70592,,,,9470,0.503,75.7719631,6.02E-01,100.3538582,9.855961616,5.23E-05,0.541819674,0.053741322,5.53E-05,185.2163424,5.412938153
100,1391,24,24,D,0,84100,6605.216634,10618.60624,,,,10133,0.49,83.63684389,6.26E-01,106.966837,7.134453206,5.55E-06,0.610932543,0.044568936,9.37E-06,175.0878035,6.102691149
100,1391,24,24,E,0,73307,6496.594145,10390.27918,,,,8843,0.517,72.5073685,5.66E-01,86.24933786,4.504285385,1.31E-06,0.584984639,0.041654993,8.13E-06,147.4386369,5.8408927
100,1391,24,24,F,0,72687,6596.405511,10448.88736,,,,7895,0.499,89.59180337,6.83E-01,112.266067,6.464214438,2.34E-06,0.67297084,0.045256929,5.82E-06,166.8215922,6.72165931
100,2951,24,24,A,0,34157,6317.671435,5497.800521,,,,2344,0.524,110.8584684,1.22E+00,115.3776506,2.774509163,1.29E-08,1.417752494,0.080935597,2.22E-06,81.38067192,14.10659629
100,2951,24,24,B,0,71776,5983.774854,4737.600917,,,,4113,0.558,88.07435652,9.10E-01,92.44700502,3.072561208,8.94E-08,1.058855184,0.078919815,1.06E-05,87.30845015,10.5424912
100,2951,24,24,C,0,56944,5899.262237,4695.475906,,,,2999,0.507,118.8277695,1.03E+00,149.5926803,8.155617799,8.86E-06,1.016253649,0.055306933,8.78E-06,147.200141,10.1469315
100,2951,24,24,D,0,23996,5881.178404,6094.520093,,,,1683,0.496,119.7422667,1.08E+00,132.5398753,10.19197894,1.27E-05,1.126950593,0.150096212,0.000288829,117.6093044,11.24242608
100,2951,24,24,E,0,27976,5457.603811,4511.659974,,,,1449,0.513,85.22058485,0.952015755,85.62202805,4.577864437,1.51E-06,1.236941447,0.178775945,0.000451075,69.22076083,12.28407596
100,2951,24,24,F,0,31013,5772.911411,4353.026936,,,,1580,0.485,124.1441352,1.12E+00,140.1048936,7.703137431,1.78E-06,1.148717065,0.105612107,3.58E-05,121.9664075,11.46149951
100,1391,24,30,A,0,122628,6263.864662,13334.55684,,,,18599,0.464,30.82613771,3.51E-01,32.46803028,2.64289703,1.77E-05,0.38754845,0.073154792,0.001833941,83.77799025,3.857183409
100,1391,24,30,B,0,160717,6658.271361,10761.45349,,,,21210,0.536,16.38751464,2.48E-01,15.75669889,1.21305375,1.28E-05,0.557523833,0.236735946,0.056666385,28.26192881,5.353659201
100,1391,24,30,C,0,145920,6303.724756,12453.60426,,,,20925,0.531,18.65274951,2.47E-01,17.97067962,1.668804788,3.79E-05,0.405577291,0.14450596,0.030892245,44.30889012,3.988286969
100,1391,24,30,D,0,135044,5752.642518,13886.33812,,,,21980,0.518,19.8375842,0.222235064,26.09289431,6.03968764,0.004981417,0.15543078,0.041668899,0.009735073,167.8746919,1.552471983
100,1391,24,30,E,0,153953,6324.563629,11854.4349,,,,20297,0.482,19.2882435,0.274142107,17.8144994,1.68581174,0.000131126,0.649973075,0.318201478,0.09654276,27.40805746,6.225888296
100,1391,24,30,F,0,147844,5919.760346,12221.56854,,,,17610,0.499,23.81114574,0.247990944,25.91479085,3.076327613,0.000386629,0.271552728,0.054233869,0.004079957,95.43189275,2.705631672
100,2951,24,30,A,0,25576,6909.011033,9815.887853,,,,3053,0.477,57.90581567,0.532945527,58.36064852,3.754179334,1.00E-04,0.687708592,0.084631391,0.001247487,84.86246823,6.845430612
100,2951,24,30,B,0,38924,7773.67594,7877.995156,,,,3657,0.53,58.61143726,5.52E-01,61.17084162,2.891906288,7.28E-07,0.69777942,0.073732172,7.92E-05,87.66501258,6.947685646
100,2951,24,30,C,0,26971,7650.115173,8214.516802,,,,2648,0.496,72.52531941,0.648015229,85.37386822,9.488745815,0.000105444,0.625609508,0.103509287,0.00092823,136.4651066,6.244921125
100,2951,24,30,D,0,31508,7231.688369,12695.75173,,,,5232,0.502,46.75040396,4.46E-01,46.97066063,3.539839754,4.35E-05,0.51772217,0.089924944,0.002219089,90.72561183,5.156357082
100,2951,24,30,E,0,42875,6988.504111,7456.320762,,,,4274,0.53,33.41997078,4.90E-01,32.4497695,2.236952254,6.73E-06,0.825747016,0.239149227,0.013585495,39.29747112,8.083732441
100,2951,24,30,F,0,33865,6900.861762,10125.06673,,,,4360,0.516,45.58926825,4.57E-01,45.79513043,2.910411904,4.18E-06,0.678984551,0.119097695,0.001258988,67.44649845,6.740526067
100,1391,24,18,A,2,63665,10087.2451,5692.448113,,,,3552,0.346,160.9656413,1.07E+00,201.9462582,4.189925686,5.35E-09,1.175170402,0.027362745,1.07E-08,171.8442346,11.73845689
100,1391,24,18,B,2,122650,9548.075506,5321.464023,,,,8691,0.462,194.5056052,1.34E+00,239.6530343,3.548092214,7.08E-10,1.468697223,0.02614482,2.14E-09,163.1738867,14.66861287
100,1391,24,18,C,2,79809,13069.11129,6666.382596,,,,7980,0.449,197.5683027,1.30E+00,260.1325815,5.652163191,7.05E-09,1.379450109,0.029485348,6.39E-09,188.5770132,13.78158536
100,1391,24,18,D,2,89405,9088.87655,5954.145264,,,,6099,0.441,195.4958803,1.26E+00,251.7882061,6.480140103,1.94E-08,1.390300754,0.037322374,2.50E-08,181.103409,13.88889501
100,1391,24,18,E,2,86958,9369.634865,5825.807429,,,,6593,0.473,154.1438092,1.05E+00,190.6274826,2.897142475,8.29E-10,1.158305996,0.020931538,2.34E-09,164.5743727,11.56882563
100,1391,24,18,F,2,80304,9166.654935,5877.798464,,,,5693,0.413,144.2148855,9.66E-01,191.0208825,6.286044972,8.43E-08,1.002933419,0.031994158,7.00E-08,190.4621771,10.02012853
100,2951,24,18,A,2,149257,8305.75378,4999.699782,,,,10363,0.516,192.0894571,1.74E+00,203.7962131,3.648434005,2.21E-09,2.077115633,0.075708287,1.55E-07,98.11500612,20.69953081
