Light,Food,Strain,Ev,Acc,Rep,W140,W154,W167,W184
100,Xenic,1393,18,18,A,0.469872474,0.608373237,0.132904431,0.350775542
100,Xenic,1393,18,18,B,0.681766646,0.564203457,0.092723504,0.310365378
100,Xenic,1393,18,18,C,0.549366959,0.52574485,0.158677872,0.35304868
100,Xenic,1393,18,18,D,0.472833273,0.504059114,0.176041353,0.388361599
100,Xenic,1393,18,18,E,0.549894202,0.563003733,0.182661447,0.277104866
100,Xenic,1393,18,18,F,0.532299581,0.690167287,0.253578152,0.310365049
100,Xenic,1391,18,18,A,0.279250464,0.395357642,0.258929408,0.302457405
100,Xenic,1391,18,18,B,0.211955138,0.383282846,0.281932894,0.260588072
100,Xenic,1391,18,18,C,0.241631986,0.346398631,0.182966149,0.303636738
100,Xenic,1391,18,18,D,0.266439508,0.363679567,0.162983367,0.26223452
100,Xenic,1391,18,18,E,0.28085066,0.372674447,0.20284933,0.293295729
100,Xenic,1391,18,18,F,0.223374446,0.324047368,0.180360233,0.302439123
100,Xenic,2951,18,18,A,0.311238719,0.464191163,0.132262379,0.271352363
100,Xenic,2951,18,18,B,0.26506471,0.606155007,0.153231068,0.210550468
100,Xenic,2951,18,18,C,0.407671588,0.575070344,0.140390129,0.258431809
100,Xenic,2951,18,18,D,0.273483155,0.363552524,0.189811137,0.156195305
100,Xenic,2951,18,18,E,0.272770495,0.53618602,0.130614767,0.266161522
100,Xenic,2951,18,18,F,0.31032592,0.501801098,0.171579389,0.238861587
100,Xenic,1393,24,18,A,0.347240089,0.51253554,0.123551244,0.263790039
100,Xenic,1393,24,18,B,0.375810999,0.419890833,0.177582668,0.281298454
100,Xenic,1393,24,18,C,0.422900634,0.414535271,0.297241626,0.254587431
100,Xenic,1393,24,18,D,0.331500666,0.371639219,0.176086564,0.246951127
100,Xenic,1393,24,18,E,0.341790544,0.444973516,0.245254204,0.291477387
100,Xenic,1393,24,18,F,0.382167589,0.473711113,0.087299165,0.278699351
100,Xenic,1391,24,18,A,0.107136002,0.041261496,0.058412704,0.055640698
100,Xenic,1391,24,18,B,0.183494233,0.21492836,0.121678257,0.185884396
100,Xenic,1391,24,18,C,0.120624003,0.126972206,0.105269645,0.162465134
100,Xenic,1391,24,18,D,0.083448285,0.050409661,0.065757416,0.081409727
100,Xenic,1391,24,18,E,0.090171215,0.117586381,0.035515028,0.169631788
100,Xenic,1391,24,18,F,0.016868399,-0.067669718,0.019908559,0.015930511
100,Xenic,2951,24,18,A,0.217078386,0.324015181,0.118045724,0.202847512
