,ID,Strain,Light,Bact,Ev,Assay,Rep,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I,P_I.C,P_I.interp
1,1393 100 Xenic 30 3 A,1393,100,Xenic,30,3,A,0.322,43.99473792,0.409888863,43.79922556,5.387507872,0.00124524,0.349424168,0.062926822,0.005147174,125.3468693,29.03000855,0.501690221,24.49920913
2,1393 100 Xenic 30 18 A,1393,100,Xenic,30,18,A,0.452,71.19047171,0.720896545,64.78487639,5.68684448,9.12E-05,0.660502306,0.108028635,0.001696555,98.08425467,49.86334491,0.861727357,45.54757009
3,1393 100 Xenic 30 23 A,1393,100,Xenic,30,23,A,0.482,104.3743663,1.467764526,96.21162274,3.783117649,1.75E-06,1.83844756,0.218587828,0.000389537,52.33307973,92.08950174,1.591470509,84.02032943
4,1393 100 Xenic 30 29 A,1393,100,Xenic,30,29,A,0.445,142.2857793,1.896911686,132.5332727,5.068078605,1.53E-06,2.172408061,0.232070575,0.000234428,61.00754046,122.9050588,2.124018187,111.8443107
5,1393 100 Xenic 30 32 A,1393,100,Xenic,30,32,A,0.455,169.4553907,2.15773656,159.2802691,5.451047253,8.80E-07,2.358554547,0.211572519,0.000101307,67.53300208,143.6086539,2.481813163,132.5956338
6,1393 100 Xenic 30 35 A,1393,100,Xenic,30,35,A,0.424,202.226775,2.318765655,193.5023749,5.970162278,5.25E-07,2.378167442,0.165919431,2.98E-05,81.36616937,162.9856016,2.816681309,153.5424107
7,1393 100 Xenic 30 38 A,1393,100,Xenic,30,38,A,0.336,220.9856275,2.0800605,221.710487,6.440218414,3.89E-07,2.038006119,0.097093825,4.55E-06,108.7879398,160.8571642,2.779898124,157.511954
8,1393 100 Xenic 30 40 A,1393,100,Xenic,30,40,A,0.29,167.857972,1.916647517,164.5299281,2.768887771,2.55E-08,2.015755245,0.076490736,1.47E-06,81.62197692,138.3976009,2.391756891,134.7180636
9,1393 100 Xenic 30 41.5 A,1393,100,Xenic,30,41.5,A,0.104,123.0750129,1.229213612,NA,NA,NA,NA,NA,NA,NA,121.4787424,NA,121.4787424
10,1393 100 Xenic 30 44 A,1393,100,Xenic,30,44,A,0.006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
